Date,Country,City,Specie,count,min,max,median,variance
2024-11-30,BR,São José dos Campos,temperature,28,21.0,30.0,26.0,98.1
2024-11-08,BR,São José dos Campos,temperature,96,18.0,23.0,21.0,19.79
2024-11-11,BR,São José dos Campos,temperature,96,15.0,32.0,21.0,356.98
2024-02-04,BR,São José dos Campos,temperature,96,18.0,29.0,20.0,112.56
2024-02-13,BR,São José dos Campos,temperature,72,21.0,33.0,26.0,206.61
2024-03-25,BR,São José dos Campos,temperature,66,19.0,28.0,22.0,104.0
2024-04-06,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-06-16,BR,São José dos Campos,temperature,81,13.0,28.0,20.0,268.04
2024-07-30,BR,São José dos Campos,temperature,96,14.0,17.0,16.0,4.59
2024-11-25,BR,São José dos Campos,temperature,96,15.0,30.0,20.0,220.4
2024-03-16,BR,São José dos Campos,temperature,68,22.0,34.0,29.0,133.17
2024-03-19,BR,São José dos Campos,temperature,76,22.0,31.0,24.0,84.81
2024-03-31,BR,São José dos Campos,temperature,69,0.0,29.0,17.0,1402.07
2024-05-13,BR,São José dos Campos,temperature,92,0.0,32.0,23.0,1039.96
2024-09-23,BR,São José dos Campos,temperature,96,17.0,35.0,23.0,376.7
2024-10-05,BR,São José dos Campos,temperature,96,15.0,24.0,18.0,75.16
2024-03-22,BR,São José dos Campos,temperature,57,18.5,22.5,22.0,19.02
2024-07-04,BR,São José dos Campos,temperature,96,13.0,25.0,19.0,152.14
2024-09-27,BR,São José dos Campos,temperature,96,17.0,28.0,21.0,70.79
2024-10-17,BR,São José dos Campos,temperature,96,17.0,32.0,20.0,220.94
2024-11-27,BR,São José dos Campos,temperature,85,19.0,34.0,27.0,277.77
2024-06-11,BR,São José dos Campos,temperature,96,13.0,27.0,18.0,272.05
2024-06-24,BR,São José dos Campos,temperature,96,12.7,29.0,20.0,293.49
2024-10-03,BR,São José dos Campos,temperature,96,16.0,26.0,19.0,53.53
2024-01-13,BR,São José dos Campos,temperature,96,19.0,25.0,21.0,23.51
2024-01-17,BR,São José dos Campos,temperature,96,23.0,32.0,25.0,114.51
2024-02-16,BR,São José dos Campos,temperature,72,19.0,28.0,21.0,87.61
2024-02-20,BR,São José dos Campos,temperature,57,21.0,28.0,22.0,48.27
2024-03-04,BR,São José dos Campos,temperature,96,19.0,33.0,24.0,240.82
2024-08-14,BR,São José dos Campos,temperature,96,9.0,25.0,14.0,314.09
2024-04-04,BR,São José dos Campos,temperature,91,0.0,0.0,0.0,0.0
2024-11-21,BR,São José dos Campos,temperature,96,20.0,24.0,21.0,21.04
2024-02-21,BR,São José dos Campos,temperature,54,20.0,28.0,22.0,48.36
2024-04-24,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-05-15,BR,São José dos Campos,temperature,91,17.5,21.0,19.0,10.84
2024-06-27,BR,São José dos Campos,temperature,76,16.5,26.0,21.0,97.14
2024-07-05,BR,São José dos Campos,temperature,96,12.0,27.0,18.0,274.93
2024-07-16,BR,São José dos Campos,temperature,94,13.0,24.0,16.0,125.93
2024-04-17,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-07-11,BR,São José dos Campos,temperature,92,15.5,28.0,19.0,106.36
2024-07-14,BR,São José dos Campos,temperature,93,14.0,27.0,19.0,167.08
2024-08-15,BR,São José dos Campos,temperature,96,8.6,29.0,18.0,496.85
2024-10-06,BR,São José dos Campos,temperature,73,16.0,29.0,17.0,166.4
2024-03-26,BR,São José dos Campos,temperature,69,18.0,25.0,21.0,43.32
2024-04-18,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-05-25,BR,São José dos Campos,temperature,91,15.0,22.0,18.0,38.38
2024-11-09,BR,São José dos Campos,temperature,96,16.0,24.0,19.0,41.53
2024-11-22,BR,São José dos Campos,temperature,96,19.0,22.0,20.0,16.03
2024-01-24,BR,São José dos Campos,temperature,96,15.0,24.0,18.0,75.98
2024-03-07,BR,São José dos Campos,temperature,96,21.0,27.0,23.0,47.84
2024-07-09,BR,São José dos Campos,temperature,87,13.0,16.0,15.5,11.86
2024-11-04,BR,São José dos Campos,temperature,96,19.0,22.0,21.0,13.19
2024-03-08,BR,São José dos Campos,temperature,96,22.0,28.0,23.0,36.01
2024-04-29,BR,São José dos Campos,temperature,96,0.0,31.0,20.0,1694.17
2024-06-22,BR,São José dos Campos,temperature,96,11.0,28.0,18.0,310.92
2024-11-20,BR,São José dos Campos,temperature,96,16.0,32.0,21.0,298.93
2024-04-13,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-05-20,BR,São José dos Campos,temperature,84,18.0,30.0,20.0,106.76
2024-10-23,BR,São José dos Campos,temperature,96,21.0,33.0,23.0,116.03
2024-11-16,BR,São José dos Campos,temperature,67,19.0,26.0,20.0,26.1
2024-11-29,BR,São José dos Campos,temperature,36,21.5,28.0,24.0,42.63
2024-01-18,BR,São José dos Campos,temperature,96,22.0,34.0,24.0,172.09
2024-04-14,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-07-10,BR,São José dos Campos,temperature,88,15.0,23.0,17.0,75.99
2024-09-21,BR,São José dos Campos,temperature,72,17.0,27.0,22.0,108.43
2024-10-13,BR,São José dos Campos,temperature,96,16.0,28.0,20.0,139.86
2024-11-12,BR,São José dos Campos,temperature,86,15.0,34.0,21.0,323.0
2024-10-02,BR,São José dos Campos,temperature,96,18.0,38.0,22.0,425.81
2024-02-01,BR,São José dos Campos,temperature,96,16.0,27.0,21.0,107.3
2024-03-06,BR,São José dos Campos,temperature,96,20.0,27.0,22.0,53.46
2024-04-02,BR,São José dos Campos,temperature,72,0.0,29.0,0.0,1447.86
2024-06-13,BR,São José dos Campos,temperature,87,10.6,27.0,18.0,267.33
2024-07-03,BR,São José dos Campos,temperature,96,12.5,26.0,15.0,198.8
2024-07-23,BR,São José dos Campos,temperature,96,9.0,25.0,15.0,338.79
2024-05-21,BR,São José dos Campos,temperature,94,18.0,25.0,19.0,66.0
2024-09-17,BR,São José dos Campos,temperature,77,14.0,21.0,17.0,32.3
2024-09-24,BR,São José dos Campos,temperature,96,17.0,35.0,23.0,372.05
2024-10-18,BR,São José dos Campos,temperature,91,16.0,31.0,20.0,220.39
2024-10-27,BR,São José dos Campos,temperature,96,16.0,29.0,18.0,58.67
2024-03-27,BR,São José dos Campos,temperature,64,19.0,23.0,20.0,15.1
2024-04-21,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-04-27,BR,São José dos Campos,temperature,96,0.0,31.0,0.0,1739.28
2024-07-20,BR,São José dos Campos,temperature,96,10.0,22.0,13.0,139.11
2024-10-21,BR,São José dos Campos,temperature,89,18.0,26.0,23.0,64.1
2024-01-04,BR,São José dos Campos,temperature,96,20.0,26.0,21.0,41.25
2024-02-24,BR,São José dos Campos,temperature,86,21.0,31.0,23.0,88.15
2024-05-14,BR,São José dos Campos,temperature,91,0.0,27.0,20.0,59.35
2024-05-24,BR,São José dos Campos,temperature,93,14.0,29.0,18.0,198.87
2024-06-30,BR,São José dos Campos,temperature,96,12.0,16.0,14.0,19.68
2024-10-14,BR,São José dos Campos,temperature,96,17.0,27.0,18.0,109.32
2024-11-19,BR,São José dos Campos,temperature,82,16.0,30.0,21.0,189.99
2024-01-03,BR,São José dos Campos,temperature,96,20.0,30.0,21.0,113.01
2024-01-30,BR,São José dos Campos,temperature,96,18.0,32.0,25.0,261.88
2024-02-26,BR,São José dos Campos,temperature,96,21.0,29.0,23.0,53.19
2024-07-19,BR,São José dos Campos,temperature,93,12.0,24.0,15.0,152.84
2024-08-13,BR,São José dos Campos,temperature,96,5.0,14.0,9.0,88.35
2024-10-11,BR,São José dos Campos,temperature,83,19.0,28.0,20.0,103.79
2024-03-18,BR,São José dos Campos,temperature,76,22.0,31.0,25.0,90.22
2024-04-01,BR,São José dos Campos,temperature,72,0.0,0.0,0.0,0.0
2024-05-03,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-07-28,BR,São José dos Campos,temperature,96,12.0,29.0,18.0,351.93
2024-10-31,BR,São José dos Campos,temperature,96,16.0,28.0,19.0,141.04
2024-03-13,BR,São José dos Campos,temperature,96,20.0,31.0,22.0,134.63
2024-05-07,BR,São José dos Campos,temperature,96,0.0,31.0,0.0,1117.13
2024-09-15,BR,São José dos Campos,temperature,43,17.0,25.0,20.0,43.38
2024-09-30,BR,São José dos Campos,temperature,96,18.0,33.0,22.0,277.29
2024-02-17,BR,São José dos Campos,temperature,72,17.0,28.0,21.0,120.84
2024-05-06,BR,São José dos Campos,temperature,96,0.0,22.0,0.0,397.39
2024-05-16,BR,São José dos Campos,temperature,91,17.0,28.0,23.0,144.46
2024-07-02,BR,São José dos Campos,temperature,96,12.0,21.0,14.5,76.2
2024-10-07,BR,São José dos Campos,temperature,72,15.5,29.0,18.0,190.74
2024-07-25,BR,São José dos Campos,temperature,96,10.0,27.0,16.0,363.79
2024-08-19,BR,São José dos Campos,temperature,96,12.0,32.0,19.0,480.42
2024-08-07,BR,São José dos Campos,temperature,96,14.0,30.0,22.0,288.77
2024-09-28,BR,São José dos Campos,temperature,96,16.0,26.0,18.0,93.46
2024-01-25,BR,São José dos Campos,temperature,96,16.0,21.0,18.0,17.22
2024-01-27,BR,São José dos Campos,temperature,96,18.0,25.0,20.0,43.6
2024-02-08,BR,São José dos Campos,temperature,96,18.0,32.0,24.0,205.89
2024-04-16,BR,São José dos Campos,temperature,96,0.0,31.0,22.0,1790.09
2024-05-11,BR,São José dos Campos,temperature,95,0.0,31.0,19.0,1523.03
2024-06-03,BR,São José dos Campos,temperature,96,14.0,26.0,18.0,167.3
2024-04-10,BR,São José dos Campos,temperature,96,0.0,30.0,0.0,1633.86
2024-07-18,BR,São José dos Campos,temperature,80,12.0,26.0,16.0,217.77
2024-02-23,BR,São José dos Campos,temperature,91,20.0,33.0,24.0,144.72
2024-03-23,BR,São José dos Campos,temperature,57,18.0,22.0,19.0,16.0
2024-08-17,BR,São José dos Campos,temperature,96,13.0,32.0,19.0,417.79
2024-04-05,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-06-14,BR,São José dos Campos,temperature,84,12.0,27.0,18.0,290.7
2024-10-08,BR,São José dos Campos,temperature,72,16.0,34.0,18.0,331.02
2024-01-14,BR,São José dos Campos,temperature,96,19.0,32.0,23.0,217.26
2024-03-28,BR,São José dos Campos,temperature,59,19.0,21.0,21.0,6.47
2024-04-12,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-10-16,BR,São José dos Campos,temperature,96,15.0,31.0,23.0,289.54
2024-11-24,BR,São José dos Campos,temperature,96,15.0,26.0,18.5,97.84
2024-01-01,BR,São José dos Campos,temperature,96,18.5,25.0,21.0,39.36
2024-02-11,BR,São José dos Campos,temperature,96,19.0,33.0,25.0,214.03
2024-04-15,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-07-12,BR,São José dos Campos,temperature,92,15.0,22.0,16.0,40.58
2024-07-31,BR,São José dos Campos,temperature,96,14.0,23.0,16.0,93.88
2024-11-18,BR,São José dos Campos,temperature,72,17.0,33.0,22.0,277.81
2024-01-02,BR,São José dos Campos,temperature,96,19.0,30.0,22.0,106.31
2024-04-08,BR,São José dos Campos,temperature,96,0.0,28.0,20.0,1422.16
2024-04-20,BR,São José dos Campos,temperature,96,0.0,0.0,0.0,0.0
2024-06-08,BR,São José dos Campos,temperature,76,12.0,27.0,19.0,247.96
2024-10-30,BR,São José dos Campos,temperature,96,18.0,29.0,19.0,126.3
2024-11-14,BR,São José dos Campos,temperature,62,15.0,24.0,19.0,58.4
2024-10-25,BR,São José dos Campos,temperature,96,20.0,30.0,23.0,134.04
2024-01-10,BR,São José dos Campos,temperature,96,20.0,32.0,24.0,173.86
2024-03-15,BR,São José dos Campos,temperature,84,22.0,34.0,28.0,170.1
