temperatura;pressao;altitude;umidade;co2;tempo_registro;regiao;;
31,62;92515,08;815,76;45;0;05/12/2024 14:33;Centro;;
31,62;92514,84;815,78;45;0;05/12/2024 14:33;Centro;;
31,62;92515,11;815,76;45;0;05/12/2024 14:33;Centro;;
31,62;92517,09;815,58;45;0,22;05/12/2024 14:33;Centro;;
31,62;92516,1;815,67;45;0;05/12/2024 14:33;Centro;;
31,62;92515,9;815,69;45;0;05/12/2024 14:33;Centro;;
31,62;92513,19;815,93;45;0;05/12/2024 14:33;Centro;;
31,62;92517,05;815,59;45;1,16;05/12/2024 14:32;Centro;;
31,62;92516,77;815,61;45;0,02;05/12/2024 14:32;Centro;;
31,62;92515,41;815,73;45;0,51;05/12/2024 14:32;Centro;;
31,62;92514,74;815,79;45;0;05/12/2024 14:32;Centro;;
31,61;92515,46;815,73;45;0;05/12/2024 14:32;Centro;;
31,61;92516,45;815,64;45;0;05/12/2024 14:32;Centro;;
31,61;92514,83;815,79;45;0;05/12/2024 14:32;Centro;;
31,61;92513,73;815,88;45;0,88;05/12/2024 14:32;Centro;;
31,61;92515,46;815,73;45;0,18;05/12/2024 14:32;Centro;;
31,61;92514,3;815,83;45;0;05/12/2024 14:32;Centro;;
31,62;92516,66;815,62;45;0,23;05/12/2024 14:32;Centro;;
31,61;92517,28;815,57;45;0,01;05/12/2024 14:32;Centro;;
31,61;92516,22;815,66;45;0,42;05/12/2024 14:31;Centro;;
31,61;92517,8;815,52;45;1,2;05/12/2024 14:31;Centro;;
31,61;92517,27;815,57;45;1,22;05/12/2024 14:31;Centro;;
31,6;92516,3;815,65;45;1,2;05/12/2024 14:31;Centro;;
31,6;92518,09;815,49;45;0;05/12/2024 14:31;Centro;;
31,6;92522,16;815,13;45;0;05/12/2024 14:31;Centro;;
31,6;92515,94;815,69;45;0;05/12/2024 14:31;Centro;;
31,61;92518,09;815,49;45;0;05/12/2024 14:31;Centro;;
31,61;92522,6;815,09;45;0,18;05/12/2024 14:31;Centro;;
31,6;92519,58;815,36;45;1,32;05/12/2024 14:31;Centro;;
31,6;92517,52;815,55;45;0;05/12/2024 14:31;Centro;;
31,59;92517,58;815,54;45;0;05/12/2024 14:31;Centro;;
31,59;92516,13;815,48;45;0;05/12/2024 14:30;Centro;;
31,59;92519,11;815,4;45;0,01;05/12/2024 14:30;Centro;;
31,59;92520,59;815,27;45;1,16;05/12/2024 14:30;Centro;;
31,59;92519,56;815,36;45;0;05/12/2024 14:30;Centro;;
31,58;92518,56;815,45;45;0;05/12/2024 14:30;Centro;;
31,59;92519,46;815,37;45;0;05/12/2024 14:30;Centro;;
31,58;92518,46;815,46;45;0;05/12/2024 14:30;Centro;;
31,58;92518,06;815,5;45;0,06;05/12/2024 14:30;Centro;;
31,58;92518,39;815,47;45;0,19;05/12/2024 14:30;Centro;;
31,58;92518,95;815,42;45;0;05/12/2024 14:30;Centro;;
31,59;92519,63;815,36;45;0;05/12/2024 14:30;Centro;;
